8652.56;Gran;Hersh;23:22;12/8/2022
25598.48;Sher;Gert;13:18;18/7/2022
73396.34;Toma;Larina;8:38;29/11/2021
7987.25;Edward;Ofella;16:29;13/11/2021
90604.07;Jayson;Gracie;8:20;14/2/2022
62134.41;Farr;Darb;19:04;3/8/2022
9241.03;Olympe;Ches;18:51;2/12/2021
83580.54;Adham;Cesaro;4:04;9/2/2022
95751.18;Rozina;Marlo;21:19;6/1/2022
30125.5;Domenic;Drake;9:49;4/6/2022
65933.44;Garek;Wolf;5:49;21/2/2022
56049.84;Lanette;Sidney;2:05;11/2/2022
11400.56;Nike;Nadiya;23:42;5/8/2022
43083.75;Oswell;Erica;7:14;24/6/2022
93149.22;Valina;Jeremie;9:17;26/11/2021
67229.71;Brett;Glynda;23:54;14/5/2022
88554.76;Shadow;Gibb;9:13;6/1/2022
94827.34;Sayre;Barde;18:02;17/2/2022
87739.21;Ira;Lowell;12:16;7/4/2022
73245.37;Norina;Sax;17:32;24/8/2022
9348.82;Vernen;Corry;6:50;9/3/2022
6971.55;Olive;Bertrand;16:36;8/9/2022
59001.42;Elia;Letta;0:19;28/10/2021
39806.29;Vevay;Trip;2:34;7/4/2022
92128.61;Franklyn;Dave;17:00;8/11/2021
28012.04;Pam;Corie;11:38;27/12/2021
7856.1;Gabriel;Pammy;20:43;20/8/2022
18898.82;Roselle;Mollee;16:39;18/9/2022
87955.54;Florian;Cecelia;22:26;16/3/2022
80256.05;Juana;Hayward;12:34;13/8/2022
63996.08;Ernaline;Ramsay;11:11;29/12/2021
63684.29;Mercedes;Dollie;12:40;27/11/2021
22103.6;Debby;Wald;9:19;21/6/2022
83967.62;Hector;Bridgette;13:11;23/1/2022
62270.45;Brooke;Colly;20:24;11/7/2022
33613.94;Auberta;Donelle;6:48;22/1/2022
80962.37;Ginnie;Penn;12:37;29/11/2021
45787.47;Magdalene;Rochester;8:24;22/5/2022
59641.25;Linette;Marcy;1:19;31/7/2022
